,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
339,peniche,100,PT,1604337748,91,39.36,-9.38,63.0,11.01
340,alyangula,96,AU,1604337749,100,-13.85,136.42,73.4,1.3
341,kungurtug,64,RU,1604337749,85,50.6,97.52,23.81,1.3
342,banff,99,CA,1604337749,71,51.18,-115.57,46.4,11.41
343,qaqortoq,75,GL,1604337749,53,60.72,-46.03,23.0,5.82
344,brae,40,GB,1604337749,70,60.4,-1.35,48.2,13.87
345,monchegorsk,100,RU,1604337749,92,67.94,32.87,32.72,23.8
346,helong,0,CN,1604337749,78,42.54,129.0,26.83,8.25
347,abu kamal,43,SY,1604337749,37,34.45,40.92,68.45,3.78
348,pangkalanbuun,100,ID,1604337750,96,-2.68,111.62,75.07,1.23
349,guerrero negro,9,MX,1604337750,48,27.98,-114.06,77.25,11.54
350,dobryanka,90,RU,1604337750,79,58.46,56.42,28.4,2.24
351,dasoguz,0,TM,1604337750,31,41.84,59.97,50.0,9.17
352,porto belo,40,BR,1604337750,60,-27.16,-48.55,73.99,9.17
353,senno,80,RU,1604337750,92,59.53,33.92,39.09,11.3
354,marzuq,0,YE,1604337751,27,14.4,46.47,65.77,2.33
355,itamaraca,40,BR,1604337751,62,-7.75,-34.83,87.8,11.41
356,sitka,90,US,1604337632,87,57.05,-135.33,44.6,16.11
357,lundazi,90,ZM,1604337751,59,-12.29,33.18,71.4,7.45
358,ahipara,95,NZ,1604337751,87,-35.17,173.17,63.03,10.16
359,soyo,64,AO,1604337751,83,-6.13,12.37,79.25,8.93
360,cidreira,0,BR,1604337582,53,-30.18,-50.21,67.42,8.72
361,nome,1,US,1604337751,77,64.5,-165.41,6.8,4.54
362,san cristobal,40,VE,1604337752,74,7.77,-72.22,82.4,3.36
363,qaanaaq,91,GL,1604337752,76,77.48,-69.36,4.89,4.27
364,jumla,0,NP,1604337752,58,29.27,82.18,44.94,6.8
365,nouadhibou,96,MR,1604337752,53,20.93,-17.03,75.2,14.99
366,makubetsu,80,JP,1604337752,72,45.37,141.82,44.42,15.05
367,djambala,100,CG,1604337752,91,-2.54,14.75,70.45,2.08
368,bambanglipuro,78,ID,1604337752,85,-7.95,110.28,77.05,4.83
369,praia da vitoria,75,PT,1604337499,100,38.73,-27.07,64.99,13.62
370,kloulklubed,75,PW,1604337753,88,7.04,134.26,78.8,4.7
371,galbinasi,40,RO,1604337753,62,45.08,26.92,51.8,4.7
372,shumskiy,100,RU,1604337753,89,54.83,99.13,32.65,2.57
373,khash,0,IR,1604337753,35,28.22,61.22,49.37,4.07
374,haverhill,90,US,1604337753,59,42.78,-71.08,39.0,17.22
375,baruun-urt,0,MN,1604337753,78,46.68,113.28,12.52,6.55
376,la palma,90,US,1604337753,82,33.85,-118.05,66.2,2.48
377,korla,51,CN,1604337621,46,41.76,86.15,41.0,5.01
